date,description,amount,category,account
2016-09-12 02,"AIRPORT-ARRIVLS-CUST TELAVIV IL 500;00ILS 0;2417800 ",-120.89,"unknown","default"
2016-09-12 03,"UMBUCHUNGBARGELDABHEBUNG 500;00ILS 0;2417800 ",120.89,"cash","default"
2016-09-12 04,"COMMERZBANKATM MUENCHENDE ",-100.00,"cash","default"
2016-09-12 05,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-09-13 00,"AUSLANDSEINSATZENTG.F.ILS228.00 ",-1.02,"resto","default"
2016-09-13 01,"RIESENHUBERFAHRRAEDERMUENCHEN DE ",-95.80,"unknown","default"
2016-09-16 00,"DBBAHNAUTOMATEN München-FlughDE ",-6.40,"unknown","default"
2016-09-19 00,"SPKBADTOELZ-WOLFRATKOCHEL DE ",-200.00,"unknown","default"
2016-09-19 01,"FRANZMARCMUSEUMSG. KOCHEL DE ",-18.50,"unknown","default"
2016-09-19 02,"UMBUCHUNGBARGELDABHEBUNG ",200.00,"cash","default"
2016-09-21 00,"STADTSPARKASSEMUENCHENFL005 DE ",-100.00,"cash","default"
2016-09-21 01,"AmazonDEMarketplace800-279-6620LU ",-56.94,"electronic","default"
2016-09-21 02,"AUSZAHLUNGCASHBACK ",14.42,"unknown","default"
2016-09-21 03,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-09-22 00,"KAUFLANDMUENCHEN MUENCHENDE ",-25.76,"unknown","default"
2016-09-23 00,"TENGELMANN50475 MUENCHEN DE ",-28.63,"groceries","default"
2016-09-26 00,"COMMERZBANKATM MUENCHENDE ",-100.00,"cash","default"
2016-09-26 01,"Meridian Holzkirchen DE ",-26.00,"transport","default"
2016-09-26 02,"MuenchnerStadtbibliothekBIB006364922DE ",-20.80,"unknown","default"
2016-09-26 03,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-09-27 00,"TENGELMANN51907 MUENCHENDE ",-20.57,"groceries","default"
2016-09-27 01,"LAPIAZZA WETZLARDE ",-53.00,"unknown","default"
2016-09-28 00,"TENGELMANN50475 MUENCHEN DE ",-29.10,"groceries","default"
2016-09-28 01,"AUSLANDSEINSATZENTG.F.USD7.00 ",-0.12,"resto","default"
2016-09-28 02,"GITHUB.COM4I2Y0 4154486673US 7;00USD 0;9114286 ",-6.38,"software","default"
2016-09-29 00,"WorldofFlowersB.V. Haaften NL ",-44.00,"unknown","default"
2016-09-29 01,"ZAHLUNGPERBANKEINZUG ",1412.23,"unknown","default"
2016-09-29 02,"REISEBANKFRANKFURTATM MUENCHEN DE ",-100.00,"cash","default"
2016-09-29 03,"HOTELBUERGERHOF WETZLAR DE ",-235.00,"unknown","default"
2016-09-29 04,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-09-30 00,"MediaMarktE-Businessmediamarkt.deDE ",-271.99,"electronic","default"
2016-10-03 00,"COMMERZBANKATM MUENCHENDE ",-100.00,"cash","default"
2016-10-03 01,"NETTOSAGTDANKE8441MUENCHEN DE ",-12.15,"groceries","default"
2016-10-03 02,"NETFLIX.COM 866-579-7172NL ",-9.99,"entertainment","default"
2016-10-03 03,"Meridian HolzkirchenDE ",-26.00,"transport","default"
2016-10-03 04,"J2EFAXPLUSSERVICE35318440810GB ",-13.09,"unknown","default"
2016-10-03 05,"Klarna/DeinBus.de +46812012010SE ",-18.70,"unknown","default"
2016-10-03 06,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-10-04 00,"TENGELMANN50397 MUENCHENDE ",-17.57,"groceries","default"
2016-10-05 00,"0 COMMERZBANKATM MUENCHENDE ",-100.00,"cash","default"
2016-10-05 01,"MCIBerlin3DS Berlin DE ",-325.00,"unknown","default"
2016-10-05 02,"TRANSAVIAI49YMI PARAYVIEILLEFR ",-86.00,"unknown","default"
2016-10-05 03,"AmazonDEMarketplace800-279-6620LU ",56.94,"electronic","default"
2016-10-05 04,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-10-06 00,"RENTALCARS.COM 08003685302 GB ",-78.19,"unknown","default"
2016-10-07 00,"AmazonDEMarketplace800-279-6620LU ",-54.94,"electronic","default"
2016-10-13 00,"AUSLANDSEINSATZENTG.F.CZK12169.00 ",-8.56,"resto","default"
2016-10-13 01,"HTLAMBASSADORZLATAHUSAPRAHA1 CZ 12.169;00CZK 0;0380171 ",-462.63,"unknown","default"
2016-10-13 02,"TAXIMUENCHENEG MUENCHENDE ",-79.50,"unknown","default"
2016-10-13 03,"SARLRMP PLAISIRFR ",-38.55,"unknown","default"
2016-10-14 00,"ADPROISSY ROISSYCDGCEFR ",-15.00,"unknown","default"
2016-10-14 01,"COFIROUTE SEVRES92310FR ",-9.00,"unknown","default"
2016-10-14 02,"SAPN 422099876ESSARTSFR ",-8.30,"unknown","default"
2016-10-14 03,"SLIMHOTEL 78PLAISIRFR ",-113.90,"unknown","default"
2016-10-14 04,"BPRUNGISSUD2489705RUNGI30713/FR ",-25.12,"unknown","default"
2016-10-14 05,"DBBAHNAUTOMATEN München-FlughDE ",-6.40,"unknown","default"
2016-10-17 00,"INDIGOVERSAI2065406000000780201/FR ",-6.90,"unknown","default"
2016-10-17 01,"HVB;THERESIENSTRASSE MUENCHEN DE ",-100.00,"cash","default"
2016-10-17 02,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-10-17 03,"Lidl Vertriebs GmbH & Co.Muenchen DE ",-30.22,"groceries","default"
2016-10-21 00,"AUSZAHLUNGCASHBACK ",22.79,"unknown","default"
2016-10-24 00,"GLORIAPALAST MUENCHENDE ",-98.00,"entertainment","default"
2016-10-24 01,"REISEBANKFRANKFURTATMMUENCHEN DE ",-100.00,"cash","default"
2016-10-24 02,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-10-24 03,"SKYPESUBSCRIPTION LUXEMBOURGLU ",-10.00,"unknown","default"
2016-10-24 04,"IndischesRestaurantGangMuenchen DE ",-51.10,"resto","default"
2016-10-24 05,"GLORIAPALAST MUENCHEN DE ",-31.00,"entertainment","default"
2016-10-25 00,"NETTOSAGTDANKE8441MUENCHEN DE ",-17.56,"groceries","default"
2016-10-26 00,"IHRHIT-MARKT MUENCHEN DE ",-23.52,"groceries","default"
2016-10-28 00,"TENGELMANN51907 MUENCHENDE ",-20.25,"groceries","default"
2016-10-28 01,"AUSLANDSEINSATZENTG.F.USD7.00 ",-0.12,"resto","default"
2016-10-28 02,"GITHUB.COM4I2Y0 4154486673 US 7;00USD 0;9371429 ",-6.56,"software","default"
2016-10-31 00,"AUSLANDSEINSATZENTG.F.CZK1000.00 ",-0.70,"resto","default"
2016-10-31 01,"CS;KRIZIKOVA2110/2B PRAHA8 CZ 1.000;00CZK 0;0377800 ",-37.78,"unknown","default"
2016-10-31 02,"AUSLANDSEINSATZENTG.F. CZK1800.00 ",-1.26,"resto","default"
2016-10-31 03,"NU-OBECNIDUM PRAHA1 CZ 1.800;00CZK 0;0377778 ",-68.00,"unknown","default"
2016-10-31 04,"PLZENSKARESTAURACE PRAHA CZ ",-29.05,"resto","default"
2016-10-31 05,"NETFLIX.COM 866-579-7172NL ",-9.99,"entertainment","default"
2016-10-31 06,"UNICREDIT-PRAHA- PRAHA CZ ",-101.00,"unknown","default"
2016-10-31 07,"AUSLANDSEINSATZENTG.F.CZK390.00 ",-0.27,"resto","default"
2016-10-31 08,"BAKESHOPPRAHA PRAHA1 CZ 390;00CZK 0;0377949 ",-14.74,"unknown","default"
2016-10-31 09,"AUSLANDSEINSATZENTG.F.CZK2000.00 ",-1.40,"resto","default"
2016-10-31 10,"CS;DLOUHA743/9 PRAHA1 CZ 2.000;00CZK 0;0377800 ",-75.56,"unknown","default"
2016-10-31 11,"ZAHLUNGPERBANKEINZUG ",2273.62,"unknown","default"
2016-10-31 12,"UMBUCHUNGBARGELDABHEBUNG 1.000;00CZK 0;0377800 ",37.78,"cash","default"
2016-10-31 13,"UMBUCHUNGBARGELDABHEBUNG 2.000;00CZK 0;0377800 ",75.56,"cash","default"
2016-11-01 00,"AUSLANDSEINSATZENTG.F.CZK2000.00 ",-1.40,"resto","default"
2016-11-01 01,"MGR.SILVIETYCOVA PRAHA10 CZ 2.000;00CZK 0;0377750 ",-75.55,"unknown","default"
2016-11-01 02,"ISIII.NADVORI PRAHA-HRADCCZ 700;00CZK 0;0377714 ",-26.44,"unknown","default"
2016-11-01 03,"AUSLANDSEINSATZENTG.F.CZK700.00 ",-0.49,"resto","default"
2016-11-01 04,"ISIII.NADVORI PRAHA-HRADCCZ 700;00CZK 0;0377714 ",-26.44,"unknown","default"
2016-11-02 00,"AUSLANDSEINSATZENTG.F.CZK1000.00 ",-0.70,"resto","default"
2016-11-02 01,"CS;OCPALLADIUM PRAHA1 CZ 1.000;00CZK 0;0377700 ",-37.77,"unknown","default"
2016-11-02 02,"UMBUCHUNGBARGELDABHEBUNG 1.000;00CZK 0;0377700 ",37.77,"cash","default"
2016-11-03 00,"HTLAMBASSADORZLATAHUSAPRAHA1 CZ 2.263;00CZK 0;0377773 ",-85.49,"unknown","default"
2016-11-03 01,"AUSLANDSEINSATZENTG.F. CZK980.00 ",-0.68,"resto","default"
2016-11-03 02,"HTLAMBASSADORZLATAHUSAPRAHA1 CZ 980;00CZK 0;0377755 ",-37.02,"unknown","default"
2016-11-04 00,"49000315HIT86MUENCHENMUENCHEN>DE ",-100.00,"unknown","default"
2016-11-04 01,"IHRHIT-MARKT MUENCHENDE ",-35.73,"groceries","default"
2016-11-04 02,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-11-07 00,"SPATENHAUSANDEROPERMUENCHEN DE ",-65.70,"resto","default"
2016-11-07 01,"SPATENHAUSANDEROPERMUENCHENDE ",-4.00,"resto","default"
2016-11-07 02,"TRETTER MUENCHENDE ",-135.00,"unknown","default"
2016-11-07 03,"SUSHI.WRAPGMBH MUENCHEN DE ",-26.80,"unknown","default"
2016-11-07 04,"M.A.C.STOREPASING MUENCHENDE ",-40.50,"unknown","default"
2016-11-07 05,"ZEROSTORE844 MUENCHENDE ",-149.80,"cloths","default"
2016-11-08 00,"NETTOSAGTDANKE8441MUENCHENDE ",-8.39,"groceries","default"
2016-11-09 00,"REISEBANKFRANKFURTATMSTUTTGARTDE ",-100.00,"cash","default"
2016-11-09 01,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-11-10 00,"TENGELMANN50475 MUENCHENDE ",-17.99,"groceries","default"
2016-11-10 01,"IHRHIT-MARKT MUENCHENDE ",-11.63,"groceries","default"
2016-11-11 00,"DEGUSSABANKATM NEUBIBERGDE ",-100.00,"cash","default"
2016-11-11 01,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-11-11 02,"HOTELPETERSHOF STUTTGARTDE ",-294.00,"unknown","default"
2016-11-14 00,"STADTSPARKASSEMUENCHENFL013 DE ",-200.00,"cash","default"
2016-11-14 01,"UMBUCHUNGBARGELDABHEBUNG ",200.00,"cash","default"
2016-11-15 00,"*DEUTSCHEBANKAG M-WEISSENB>DE ",-100.00,"cash","default"
2016-11-15 01,"NETTOSAGTDANKE8441MUENCHEN DE ",-18.79,"groceries","default"
2016-11-15 02,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-11-15 03,"PETERSFAHRSCHULE MUENCHENDE ",-99.83,"unknown","default"
2016-11-17 00,"IHRHIT-MARKT MUENCHEN DE ",-37.86,"groceries","default"
2016-11-18 00,"ConradElectronic Munchen DE ",-44.98,"electronic","default"
2016-11-21 00,"IHRHIT-MARKT MUENCHENDE ",-33.69,"groceries","default"
2016-11-21 01,"AUSZAHLUNGCASHBACK ",16.83,"unknown","default"
2016-11-21 02,"STADTSPARKASSEMUENCHENFL195 DE ",-100.00,"cash","default"
2016-11-21 03,"49000315HIT86 MUENCHEN MUENCHEN >DE ",-100.00,"unknown","default"
2016-11-21 04,"H&MMUENCHEN1DE0013 MUENCHEN DE ",-50.13,"cloths","default"
2016-11-21 05,"ZEROSTORE844 MUENCHENDE ",94.90,"cloths","default"
2016-11-21 06,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-11-21 07,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-11-23 00,"AmazonDEMarketplace800-279-6620LU ",-7.97,"electronic","default"
2016-11-23 01,"AmazonDEMarketplace800-279-6620LU ",-18.64,"electronic","default"
2016-11-24 00,"AmazonDEMarketplace800-279-6620LU ",-33.48,"electronic","default"
2016-11-24 01,"AMAZONDERETAILAMAZON.DAMAZON.DE LU ",-49.99,"electronic","default"
2016-11-25 00,"IHRHIT-MARKT MUENCHENDE ",-36.31,"groceries","default"
2016-11-25 01,"Praxis-Prof.Dr.Med.D.AbecMuenchen DE ",-243.00,"unknown","default"
2016-11-28 00,"AUSLANDSEINSATZENTG.F.USD7.00 ",-0.13,"resto","default"
2016-11-28 01,"STADTSPARKASSEMUENCHEN FL005 DE ",-100.00,"cash","default"
2016-11-28 02,"GITHUB.COM4I2Y0 4154486673US 7;00USD 0;9671429 ",-6.77,"software","default"
2016-11-28 03,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-11-30 00,"LidlVertriebsGmbH&Co.Muenchen DE ",-30.37,"groceries","default"
2016-11-30 01,"ZAHLUNGPERBANKEINZUG ",1669.65,"unknown","default"
2016-12-01 00,"NETFLIX.COM 866-579-7172NL ",-9.99,"entertainment","default"
2016-12-01 01,"STADTSPARKASSEMUENCHEN FL005 DE ",-100.00,"cash","default"
2016-12-01 02,"MariaHilfApotheke MuenchenDE ",-23.85,"health","default"
2016-12-01 03,"GASTEIGKULT&SPEISEMUENCHEN DE ",-53.90,"resto","default"
2016-12-01 04,"IHRHIT-MARKT MUENCHENDE ",-14.22,"groceries","default"
2016-12-01 05,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-12-05 00,"IHRHIT-MARKT MUENCHENDE ",-30.19,"groceries","default"
2016-12-05 01,"STADTSPARKASSEMUENCHENFL005 DE ",-200.00,"cash","default"
2016-12-05 02,"UMBUCHUNGBARGELDABHEBUNG ",200.00,"cash","default"
2016-12-07 00,"MediaMarktTV-HiFi-ElektMuenchen DE ",-55.47,"electronic","default"
2016-12-07 01,"PETERSIMMELHAND.GMBHMUENCHENDE ",-9.51,"unknown","default"
2016-12-07 02,"AMZ*I-BlasonEU 800-279-6620LU ",9.99,"unknown","default"
2016-12-12 00,"COMMERZBANKATM MUENCHEN DE ",-100.00,"cash","default"
2016-12-12 01,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-12-13 00,"2 IHRHIT-MARKT MUENCHENDE ",-16.01,"groceries","default"
2016-12-13 01,"ALDISUEDSAGTDANKE MUENCHENDE ",-19.76,"groceries","default"
2016-12-13 02,"AUTOEUROPE 4989244473500DE ",-127.83,"unknown","default"
2016-12-14 00,"LIDLVERTRIEBSGMBH MÜNCHEN DE ",-16.72,"groceries","default"
2016-12-14 01,"GASTEIGKULT&SPEISEMUENCHEN DE ",-45.30,"resto","default"
2016-12-16 00,"REISEBANKFRANKFURTATM MUENCHEN DE ",-100.00,"cash","default"
2016-12-16 01,"Flixbus BerlinDE ",-40.11,"transport","default"
2016-12-16 02,"Foodora BerlinDE ",-36.90,"resto","default"
2016-12-16 03,"UMBUCHUNGBARGELDABHEBUNG ",100.00,"cash","default"
2016-12-19 00,"VRBANKNUERNBERGEG NBG-K|.STRDE ",-200.00,"cash","default"
2016-12-19 01,"UMBUCHUNGBARGELDABHEBUNG ",200.00,"cash","default"
2016-12-20 00,"HotelBayerischerHofMunchen DE ",-250.00,"unknown","default"
2016-12-20 01,"NETTOSAGTDANKE8441MUENCHENDE ",-16.21,"groceries","default"
2016-12-21 00,"HOLIDAYINNNUERNBERGNUERNBERGDE ",-291.50,"unknown","default"
2016-12-21 01,"AUSLANDSEINSATZENTG.F.EUR15.15 ",-0.28,"resto","default"
2016-12-21 02,"IfolorGermany KreuzlingenCH ",-15.15,"unknown","default"
2016-12-21 03,"AUSZAHLUNGCASHBACK ",11.35,"unknown","default"
2016-12-21 04,"COMMERZBANKATM MUENCHEN DE ",-50.00,"cash","default"
2016-12-21 05,"UMBUCHUNGBARGELDABHEBUNG ",50.00,"cash","default"
2016-12-23 00,"STADTSPARKASSEMUENCHENFL005 DE ",-150.00,"cash","default"
2016-12-23 01,"UMBUCHUNGBARGELDABHEBUNG ",150.00,"cash","default"
2016-12-23 02,"Drs.Duve-Niederdorf.-SchoMuenchen DE ",-952.00,"unknown","default"
2016-12-28 00,"NETTOSAGTDANKE8441MUENCHEN DE ",-20.09,"groceries","default"
2016-12-28 01,"InterrentMUCI03MunchenMunchen DE ",-9.60,"unknown","default"
2016-12-29 00,"ZenPanasia&SushibarMunchen DE ",-72.80,"unknown","default"
2016-12-29 01,"ARALSTATION285185120 MUENCHEN DE ",-69.16,"unknown","default"
2016-12-29 02,"CINEMAFilmtheater COMTRADAGmbHDE ",-34.40,"unknown","default"
2016-12-29 03,"ZAHLUNGPERBANKEINZUG ",1118.25,"unknown","default"
2016-12-30 00,"NETFLIX.COM 866-579-7172NL ",-9.99,"entertainment","default"
2017-01-02 00,"TENGELMANN50475 MUENCHENDE ",-44.00,"groceries","default"
2017-01-02 01,"LUFTHANSAAG2202377149809KOELN DE ",-312.70,"transport","default"
2017-01-02 02,"Lidl Vertriebs GmbH & Co.Muenchen DE ",-53.80,"groceries","default"
2017-01-02 03,"LUFTHANSAAG2202377159882KOELN DE ",-394.92,"transport","default"
2017-01-02 04,"DM-DrogerieMarkt MuenchenDE ",-8.60,"unknown","default"
2017-01-02 05,"COMMERZBANKATM MUENCHEN DE ",-50.00,"cash","default"
2017-01-02 06,"UMBUCHUNGBARGELDABHEBUNG ",50.00,"cash","default"
2017-01-06 00,"AUSLANDSEINSATZENTG.F.USD90.00 ",-1.62,"resto","default"
2017-01-06 01,"DYNAMICTOURISM EILAT IL 90;00USD 0;9734444 ",-87.61,"unknown","default"
2017-01-06 02,"AUSLANDSEINSATZENTG.F.ILS500.00 ",-2.35,"resto","default"
2017-01-06 03,"AIRPORT-ARRIVLS-CUST TELAVIV IL 500;00ILS 0;2535600 ",-126.78,"unknown","default"
2017-01-06 04,"UMBUCHUNGBARGELDABHEBUNG 500;00ILS 0;2535600 ",126.78,"cash","default"
2017-01-09 00,"AUSLANDSEINSATZENTG.F.ILS610.00 ",-2.85,"resto","default"
2017-01-09 01,"MISEEDETKETI JERUSALEMIL 610;00ILS 0;2527869 ",-154.20,"unknown","default"
2017-01-09 02,"AUSLANDSEINSATZENTG.F.ILS605.50 ",-2.83,"resto","default"
2017-01-09 03,"BANKSERVICESCENTER TELAVIV IL 605;50ILS 0;2527993 ",-153.07,"unknown","default"
2017-01-09 04,"UMBUCHUNGBARGELDABHEBUNG 605;50ILS 0;2527993 ",153.07,"cash","default"
2017-01-10 00,"AUSLANDSEINSATZENTG.F.USD166.00 ",-2.98,"resto","default"
2017-01-10 01,"2 AUSLANDSEINSATZENTG.F.ILS512.00 ",-2.40,"resto","default"
2017-01-10 02,"AUSLANDSEINSATZENTG.F.USD555.84 ",-9.98,"resto","default"
2017-01-10 03,"1 BISTRO56 HERZELIAIL 512;00ILS0;2529492 ",-129.51,"unknown","default"
2017-01-10 04,"UNITEDTOURSLTD TELAVIVIL 166;00USD 0;9706024 ",-161.12,"unknown","default"
2017-01-10 05,"AUSLANDSEINSATZENTG.F.ILS379.50 ",-1.78,"resto","default"
2017-01-10 06,"eingediseaofspa EINGEDI IL 379;50ILS 0;2529381 ",-95.99,"unknown","default"
2017-01-10 07,"AUSLANDSEINSATZENTG.F.ILS200.00 ",-0.94,"resto","default"
2017-01-10 08,"ARENAMALL HERZLIYAIL 200;00ILS 0;2529500 ",-50.59,"unknown","default"
2017-01-10 09,"UMBUCHUNGBARGELDABHEBUNG 200;00ILS 0;2529500 ",50.59,"cash","default"
